id;tipo_cuenta_ca_pesos;tipo_cuenta_ca_dolar;tipo_cuenta_cc_pesos;sexocodi;estcivil;edad;plataforma_emp_um;usa_plataforma_u3m;ingr_prom_u6m;capita;grupo_cliente;subgrupo;relacion;fum;segmento_sueldos;segmento_bancas;es_capita;tiene_i_cbesa;tiene_i_cs;tiene_i_pr_hip;tiene_i_pr_pers;tiene_i_prep;tiene_i_se_patr;tiene_i_visa;tiene_i_tj_soc;tiene_e_ac_cc;tiene_e_fact;saldo_computo_sist_fci;tiene_e_liq_com;tiene_i_seg_vida;tiene_e_tc_agro;tiene_e_tc_corpo;tiene_e_tc_flota;saldo_computo_sist_2;saldo_computo_sist_ca_p;saldo_computo_cj;cross_empr;cross_ind;saldo_computo_sist_cc_p;saldo_computo_sist_cc_mb;transferencia_recibida;extraccion;cobro;transferencia_enviada;operatoria;pago;acreditacion;deposito;rescate;suscripcion;levantamiento;credito_acreditacion_haberes;credito_pago_bonificacion_por_promocion;credito_pago_programa_social;debito_transferencia_enviada_homebanking;credito_transferencia_recibida_simple;credito_transferencia_recibida_homebanking;debito_transferencia_enviada_atm_no_propio;credito_pago_cheque_pago_diferido;debito_operatoria_int._sldo_deudor;credito_transferencia_recibida_modo;debito_cobro_deuda_bancor;credito_rescate_titulos_fci;debito_cobro_locacion_caja_de_seguridad;credito_transferencia_recibida_ach;debito_extraccion_back_office_por_cierre_de_cuenta;debito_cobro_plazo_fijo;credito_pago_prestamo;debito_cobro_transporte;credito_pago_plazo_fijo;debito_transferencia_enviada_otras;credito_transferencia_recibida_atm;credito_deposito_atm_propio;debito_operatoria_resumen;credito_transferencia_recibida_debin;credito_pago_honorarios;credito_pago_fondo_compensador;credito_deposito_atm_no_propio;credito_operatoria_impuesto;debito_transferencia_enviada_ach;debito_transferencia_enviada_debin;debito_cobro_compras_en_el_exterior;credito_transferencia_recibida_credin;debito_pago_atm_no_propio;debito_transferencia_enviada_modo;credito_pago_titulos_fci;debito_transferencia_enviada_cuenta_vinculada;credito_operatoria_intereses;credito_deposito_intersucursal;credito_pago_liquidacion_caja_jubilaciones;credito_levantamiento__embargo;debito_operatoria_impuesto;debito_cobro_otros_servicios;credito_operatoria_ajuste;debito_operatoria_intereses;debito_operatoria_adelanto_de_haberes;credito_pago_seguro_desempleo;debito_cobro_tarjeta_credito;credito_transferencia_recibida_proveedor;credito_pago_liquidacion_comercio;credito_operatoria_cancelacion_adel_hab;debito_cobro_agencia_loteria;debito_cobro_compras;debito_cobro_prestamo;debito_extraccion_atm_propio;credito_deposito_cheque;debito_extraccion_efectivo;debito_transferencia_enviada_simple;debito_operatoria_custodia;debito_cobro_seguros;debito_transferencia_enviada_ipj;debito_extraccion_atm_no_propio;debito_operatoria_ajuste;debito_operatoria_mantenimiento;debito_suscripcion_titulos_fci;debito_operatoria_comision;credito_deposito_en_efectivo;credito_acreditacion_plan_social;debito_cobro_titulos_fci;debito_cobro_liquidacion_a_comercio;debito_cobro_cheque;credito_transferencia_recibida_mep;debito_operatoria_gastos;debito_cobro_embargo;
546;Acreditacion Admin Publica / Otra;;;M;Soltero/a;75;0;NO;5000;NO;I8;Publico General;TIT;20200312;SUELDO ADM PUBL RESTO;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;66752.5;0,00;0,00;2,00;0,00;0,00;;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
547;Caja Ahorro Jubilado Provincia;;;M;Soltero/a;75;0;SI;857048;PROPIA;I4;Sueldo;TIT;20241129;JUBILADOS PROVINCIA;JUBILADOS PROVINCIA;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;288042.91;0,00;1,00;4,00;0,00;0,00;;17,00;2,00;1,00;3,00;;1,00;;;;;1029954.86;;;26560,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.06;;;;1365,00;;;;;;19760.54;;;;;;;847000,00;;;;;;;;;6500,00;;;;;;;;;;;
548;Caja Ahorro Jubilado Provincia;C.A. Dolar;;M;Soltero/a;75;0;SI;3238691;PROPIA;I4;Sueldo;TIT;20241129;JUBILADOS PROVINCIA;JUBILADOS PROVINCIA;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1542065.17;0,00;0,00;5,00;0,00;0,00;;6,00;48,00;8,00;2,00;2,00;1,00;;;;;3495434.58;9418.28;;1597000,00;;;;;;;;;;;;;;;;;;;;;;;;;;236000,00;;;;;;;166.32;;;;;;;;;;431333.15;;;;;1085961.81;;190000,00;;480000,00;;;;;;;;;;;;;;;;;;
549;Cuenta de la Seguridad Social;;Adelanto de Haberes;M;Soltero/a;75;0;NO;366345;PROPIA;I4;Sueldo;TIT;20241130;SUELDO ADM PUBL RESTO;SUELDO ADM PUBL RESTO;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10165.01;0,00;0,00;4,00;0,00;0,00;;20,00;2,00;;12,00;;1,00;;;;;;;;;;;;;2434.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.84;;;;1303.28;900,00;;;132792,00;;;;;132792,00;;;9941.41;414000,00;;;;;;;;;;;;;375910.36;;;;;;;
550;;;;M;Soltero/a;75;0;NO;44551;NO;I8;Publico General;TIT;20220107;JUBILADOS OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.93;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
551;;;;M;Soltero/a;76;0;NO;117896;NO;I5;Monotributista;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
552;;;;M;Soltero/a;75;0;NO;31126;NO;I8;Publico General;TIT;20241130;JUBILADOS ANSES;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;98000,00;54.13;0,00;1,00;2,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
553;Cuenta de la Seguridad Social;;Adelanto de Haberes;M;Soltero/a;75;0;SI;1032684;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS ANSES;JUBILADOS ANSES;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;252501.57;0,00;0,00;4,00;0,00;0,00;2,00;1,00;23,00;14,00;5,00;2,00;1,00;;;;;;2000,00;;135184.55;;;;;2886.51;;;;;;;;;;;;;;;;;;;;107003.52;837000,00;;300000,00;;;;;11.95;;;;606.17;45154.37;;;20120,00;;211326.45;;;20120,00;;409320.01;5166.31;;;;;;;;30000,00;;;;;;1124666.91;;;;;;;
554;Caja Ahorro Comun;;;M;Viudo/a;75;0;NO;349999;NO;I8;Publico General;TIT;20241016;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;326.32;0,00;1,00;2,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;Caja Ahorro Jubilado Provincia;;;M;Soltero/a;75;0;NO;1495944;PROPIA;I4;Sueldo;TIT;20241129;JUBILADOS PROVINCIA;JUBILADOS PROVINCIA;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9269267.68;0,00;0,00;2,00;0,00;0,00;;4,00;20,00;1,00;2,00;;1,00;;;;;1733400.93;;;;;;50000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;721.25;;;;;;;;;;;;;;;719067.05;;;;;;;;;95000,00;;;;;;;;;;;;;
556;;;;M;Soltero/a;75;0;NO;10000;NO;I8;Publico General;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
557;;;;M;Soltero/a;75;0;NO;30000;NO;I8;Publico General;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
558;Cuenta de la Seguridad Social;;;M;Casado/a;75;0;NO;303996;PROPIA;I4;Sueldo;TIT;20241125;JUBILADOS ANSES;JUBILADOS ANSES;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31926.3;0,00;0,00;2,00;0,00;0,00;1,00;4,00;10,00;;1,00;;1,00;;;;;;;;;;100000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.09;;;;;;;;;;;;;;;277343.54;;140000,00;;;;;;;;;;;;;310501.99;;;;;;;
559;Cuenta de la Seguridad Social;;;M;Soltero/a;75;0;SI;424853;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS ANSES;JUBILADOS ANSES;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;95744.17;0,00;0,00;4,00;0,00;0,00;1,00;4,00;15,00;1,00;1,00;;2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56920,00;;;270470,00;;;;;13.68;;;;;;;;;;516916.39;;;;;83555.35;;75000,00;;200000,00;;;;;;;;;;;441533.14;;;;;;;
560;;;;M;Soltero/a;100;0;NO;30547;NO;I8;Publico General;TIT;20211026;JUBILADOS ANSES;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38.59;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
561;;;;M;Soltero/a;52;0;NO;5000;NO;I6;Con producto  Social;TIT;20241116;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
562;;;;M;Soltero/a;52;0;NO;5000;NO;I8;Publico General;TIT;20241125;OTROS;OTROS;0;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
563;Caja Ahorro Comun;;;M;Soltero/a;52;0;SI;5000;NO;I8;Publico General;TIT;20241115;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1215.61;0,00;0,00;2,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
564;Caja Ahorro Comun;;;M;Soltero/a;52;0;SI;304717;NO;I5;Monotributista;TIT;20241130;OTROS;OTROS;0;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1805.2;0,00;1,00;3,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565;Caja Ahorro Comun;;;M;Soltero/a;52;0;SI;5000;NO;I8;Publico General;TIT;20241130;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;711349.34;57589.73;0,00;1,00;3,00;0,00;0,00;;;1,00;;5,00;2,00;;;;;;;;;;;;;;;;;;;;;575890,00;;;576324.01;;;;;;;;;;;;;;;;;;1.52;;;;75.6;;;;;;;;;;;;;;;;;;;;;;;;360,00;;;;;;;;;
566;Caja Ahorro Comun;;;M;Soltero/a;52;0;SI;5000;NO;I8;Publico General;TIT;20241121;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36601.69;0,00;0,00;1,00;0,00;0,00;3,00;3,00;3,00;4,00;4,00;;;1,00;;;;;;;882509.65;;388994,00;;;;;;;;;;;;2820,00;;;;;;;;;;;;;;;;;;;0.65;;;;10612.52;;;;;;;;;;;;;80000,00;833335,00;217000,00;;;;;;;;;2916.67;;;;;;;;;
567;;;;M;Soltero/a;52;0;NO;12795;NO;I8;Publico General;TIT;20191216;JUBILADOS ANSES;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.02;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
568;;;;M;Soltero/a;52;0;NO;5000;NO;I6;Con producto  Social;TIT;20180813;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20.79;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
569;Caja Ahorro Comun;;;M;Soltero/a;52;0;SI;304717;NO;E2;Persona Humana con Calificacion Comercial;TIT;20241129;OTROS;RED;0;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;453850.43;0,00;0,00;3,00;0,00;0,00;18,00;;15,00;13,00;2,00;;;6,00;;;;;;;;;4320000,00;;;;;;;;357650.88;;;;;;;;;748556,00;;;;;;52459.89;1061829,00;;;;;;;41.23;2400000,00;;;;;;;;;;;;;5340203.28;15421.41;;;;;;;;;;;;;;;;;;;;;;
570;Caja Ahorro Comun;;;M;Soltero/a;52;0;NO;5000;NO;I8;Publico General;TIT;20240827;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7792.51;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
571;Caja Ahorro Comun;;;M;Soltero/a;52;0;NO;5000;NO;I6;Con producto  Social;TIT;20200915;SUELDO PRIVADOS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152.11;0,00;0,00;2,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
572;;;;M;Soltero/a;52;0;SI;5000;NO;I8;Publico General;TIT;20241127;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
573;;;;M;Casado/a;52;0;SI;117896;NO;I5;Monotributista;ADI;20241116;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
574;Fondo Desempleo;;;M;Soltero/a;52;0;NO;5000;NO;I8;Publico General;TIT;20230622;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24424.49;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;746.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
575;Caja Ahorro Comun;;;M;Soltero/a;52;0;SI;117896;NO;I5;Monotributista;TIT;20241129;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3765.56;0,00;0,00;1,00;0,00;0,00;5,00;;2,00;5,00;1,00;;;;;;;;;;53200,00;;;;;;;;;;;;;;;;;;;;50000,00;;;;;;16506,00;;41501,00;;;;;0.48;;;;;;;;;;;;;;;28800,00;;;;;;;;;;;;;;;;;;;;;;
576;Acreditacion Admin Publica / Otra;;;M;Soltero/a;52;0;SI;1359148;PROPIA;I4;Sueldo;TIT;20241130;SUELDO ADM PUBL M4;SUELDO ADM PUBL M4;1;0,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2395.82;0,00;1,00;6,00;0,00;0,00;1,00;;8,00;7,00;5,00;;1,00;;;;;1524412.31;;;;;;;;;;;;;1146714.48;;;;;;;;;;;;;;;32190,00;1646500,00;;;;;;;0.03;;;;4809,00;82061.34;;;;;742017.23;;;;;;99506.23;;;;;;10650,00;;;;22900,00;;;;;;;;;;;
577;;;;M;Soltero/a;52;0;SI;14000;NO;I8;Publico General;TIT;20241127;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
578;Acreditacion Admin Publica / Otra;Bancor Dolar;;M;Casado/a;52;0;SI;1551273;PROPIA;I4;Sueldo;TIT;20241129;SUELDO ADM PUBL M4;SUELDO ADM PUBL M4;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;259063.54;0,00;0,00;5,00;0,00;0,00;1,00;6,00;22,00;7,00;3,00;;1,00;;;;;1636116.76;;;1555000,00;;;;;;;;;;;;;;2400,00;;;;;;;;;;;;250000,00;;200000,00;;;;;105.55;;;;;83800,00;;;;;278926.29;;;;;146934.5;;240000,00;;;;;;;;;12000,00;;;;;;;;;;;
579;;;;M;Soltero/a;52;0;NO;5000;NO;I6;Con producto  Social;TIT;20221117;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.78;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
580;;;;M;Soltero/a;52;0;NO;5000;NO;I8;Publico General;TIT;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
581;Plan Primer paso;;;M;Soltero/a;52;0;NO;5000;NO;I8;Publico General;TIT;20230327;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;63.98;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
582;Acreditacion Admin Publica / Otra;;;M;Soltero/a;52;0;SI;973175;PROPIA;I4;Sueldo;TIT;20241129;SUELDO ADM PUBL M4;SUELDO ADM PUBL M4;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;54561.3;0,00;1,00;3,00;0,00;223.55;7,00;25,00;19,00;24,00;3,00;;1,00;10,00;;;;924974.32;;;;;256000,00;;;;;;;;;;;;;;;;345000,00;;;;;;;;917751,00;;30000,00;;150000,00;;;5.13;144000,00;;;;123945.97;123945.97;;;;;;;;;159051.34;;371000,00;;;;;25797.5;;;;;;;;;;;;;;;
583;;;;M;Soltero/a;52;0;NO;500;NO;I6;Con producto  Social;TIT;20211223;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42.67;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
584;;C.A. Dolar;Banca Individuos;M;Soltero/a;52;0;SI;2931420;NO;I1;Persona Humana con Cuenta Corriente Comercial;TIT;20241107;OTROS;MICROPYME;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;80,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;4,00;4,00;611.18;0,00;1,00;;1,00;1,00;19,00;;;;;;;;;;;;30000,00;;;;;;;;;;;;;;;;;;;;;;;5825,00;;;;;;;;0.01;;;;5259.67;;;512.61;;;;;;;;;;;;;;;21,00;;;;;;180,00;;;;;;;20700,00;;
585;SUAF Anses;;;M;Soltero/a;52;0;SI;51000;NO;I5;Monotributista;TIT;20241122;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8789.21;0,00;0,00;2,00;0,00;0,00;;1,00;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.3;;;;;;;;;;;;;;;;;;;43900,00;;;;;;;;;;;;;;;;;;
586;Acreditacion Admin Publica / Otra;;;M;Soltero/a;49;0;SI;445360;PROPIA;I4;Sueldo;TIT;20241130;SUELDO ADM PUBL RESTO;SUELDO ADM PUBL RESTO;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24283.11;0,00;0,00;3,00;0,00;0,00;1,00;4,00;8,00;;5,00;;1,00;;;;;457489.12;;;;;;;;2954.33;;;;;;;;;;;;;;;;;;;;;;;100000,00;;;;;4.19;;;;3140.41;;;;;;371007.06;;;;;;124064.95;130000,00;;;;;;;;;12000,00;;;;;;;;;;;
587;;;;M;Soltero/a;49;0;NO;117896;NO;I5;Monotributista;TIT;20241018;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.36;0,00;0,00;2,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
588;Caja Ahorro Comun;;;M;Soltero/a;49;0;SI;5000;NO;I6;Con producto  Social;TIT;20241130;OTROS;OTROS;0;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;115283.27;0,00;0,00;3,00;0,00;0,00;4,00;11,00;3,00;3,00;1,00;;;;;;;;;;107000,00;;877641.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.31;;;;;;;;;;122706.32;;;;;;180447.69;445000,00;;;;;;;;;;;;;;;;;;;;
589;Cuenta de la Seguridad Social;;;M;Soltero/a;54;0;NO;5000;NO;I4;Sueldo;TIT;20240404;JUBILADOS ANSES;JUBILADOS ANSES;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;295.2;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
590;Producto Mercado Abierto;;;M;Soltero/a;49;0;NO;6612;NO;I6;Con producto  Social;TIT;20240513;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;148,00;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
591;Caja Ahorro Comun;;;M;Soltero/a;49;0;SI;117896;NO;I5;Monotributista;TIT;20241129;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;229676.28;0,00;1,00;3,00;0,00;0,00;13,00;2,00;37,00;1,00;1,00;;;;;;;;;;;;431000,00;;;;;;;;;;;;;;;;;;;;;;;47150,00;;;186000,00;;;;;11.17;;;;;;;;;;;;;;;464191.66;;60000,00;;;;;4497.5;;;;;;;;;;;;;;;
